Loot,Tiered?,Loot Type,Element,Acquisition Method,Craftable?,Last Updated,Notes
,Xur,,,,,,
Goldtusk,Yes,Sword,Arc,Purchase,Yes,Defiance,Tier Upgrade After Crafting
Death's Razor,Yes,Sword,Void,Purchase,Yes,Defiance,Tier Upgrade After Crafting
Throne-Cleaver,Yes,Sword,Solar,Purchase,Yes,Defiance,Tier Upgrade After Crafting
Imperial Decree,Yes,Shotgun,Kinetic,Purchase,Yes,Defiance,Tier Upgrade After Crafting
Blast Battue,No,Heavy Grenade Launcher,Arc,Purchase,No,Hunt,
Far Future,No,Sniper Rifle,Solar,Purchase,No,Chosen,
Extraordinary Rendition,No,Submachine Gun,Kinetic,Purchase,No,Chosen,
Widow's Bite,No,Sniper Rifle,Solar,Purchase,No,Arrivals,
A Distant Pull,Yes,Sniper Rifle,Stasis,Purchase,Yes,Deep,Tier Upgrade After Crafting
Adamantite,No,Auto Rifle,Strand,Purchase,No,Heresy,
Afterlight (Adept),No,Fusion Rifle,Void,Purchase,No,Heresy,
Tarnished Mettle,Yes,Scout Rifle,Arc,Purchase,Yes,Plunder,Tier Upgrade After Crafting
Sovereignty,No,Sniper Rifle,Void,Purchase,No,Revenant,
Bitter/Sweet,No,Heavy Grenade Launcher,Arc,Purchase,No,Revenant,
Iota Draconis,No,Fusion Rifle,Solar,Purchase,No,Lost,
Threaded Needle,No,Linear Fusion Rifle,Void,Purchase,No,Chosen,
Eleatic Principle,Yes,Machine Gun,Arc,Purchase,Yes,Witch,Tier Upgrade After Crafting
The Showrunner,No,Submachine Gun,Kinetic,Purchase,No,Witch,
Thin Precipice,Yes,Sword,Strand,Purchase,Yes,Deep,
Mirror Imago (Adept),No,Submachine Gun,Strand,Purchase,No,Heresy,
Rapacious Appetite,Yes,Submachine Gun,Stasis,Purchase,Yes,Deep,Tier Upgrade After Crafting
Negative Space,No,Sword,Solar,Purchase,No,Arrivals,
False Promises,No,Auto Rifle,Stasis,Purchase,No,Heresy,
