copy_index,weapon,role,type,damage_type,is_tiered,is_adept,is_craftable,is_obtainable,col2_perks,col3_perks,combos_solved,sample_combos,hash
1,Keraunios,preferred,Trace Rifle,Arc,1,0,0,1,"Fourth Time's the Charm, Overflow, Rapid Hit","Butterfly, Chain Reaction, Detonator Beam",9,Butterfly+Fourth Time's the Charm | Butterfly+Overflow | Butterfly+Rapid Hit | Chain Reaction+Fourth Time's the Charm | Chain Reaction+Overflow | Chain Reaction+Rapid Hit | Detonator Beam+Fourth Time's the Charm | Detonator Beam+Overflow | Detonator Beam+Rapid Hit,2386208942
2,A Good Shout,preferred,Combat Bow,Void,1,0,0,1,"Bolt Scavenger, Built to Blast, Envious Arsenal","Box Breathing, Butterfly, Demoralize",9,Bolt Scavenger+Box Breathing | Bolt Scavenger+Butterfly | Bolt Scavenger+Demoralize | Box Breathing+Built to Blast | Box Breathing+Envious Arsenal | Built to Blast+Butterfly | Built to Blast+Demoralize | Butterfly+Envious Arsenal | Demoralize+Envious Arsenal,3615748501
3,Smite of Merain (Harrowed),preferred,Pulse Rifle,Kinetic,0,1,1,0,"Ancillary Ordinance, Bewildering Burst, Demolitionist","Adhesive Ordnance, Adrenaline Junkie, All-Star",9,Adhesive Ordnance+Ancillary Ordinance | Adhesive Ordnance+Bewildering Burst | Adhesive Ordnance+Demolitionist | Adrenaline Junkie+Ancillary Ordinance | Adrenaline Junkie+Bewildering Burst | Adrenaline Junkie+Demolitionist | All-Star+Ancillary Ordinance | All-Star+Bewildering Burst | All-Star+Demolitionist,3407395594
4,Reghusk's Pledge,preferred,Auto Rifle,Void,1,0,0,1,"Built to Blast, Demoralize, Destabilizing Rounds","Attrition Orbs, Golden Tricorn, Golden Tricorn Enhanced",9,Attrition Orbs+Built to Blast | Attrition Orbs+Demoralize | Attrition Orbs+Destabilizing Rounds | Built to Blast+Golden Tricorn | Built to Blast+Golden Tricorn Enhanced | Demoralize+Golden Tricorn | Demoralize+Golden Tricorn Enhanced | Destabilizing Rounds+Golden Tricorn | Destabilizing Rounds+Golden Tricorn Enhanced,2370525224
5,Finite Impactor,preferred,Hand Cannon,Solar,1,0,0,1,"Elemental Capacitor, Enlightened Action, Fragile Focus","Burning Ambition, Heating Up, Iron Reach",9,Burning Ambition+Elemental Capacitor | Burning Ambition+Enlightened Action | Burning Ambition+Fragile Focus | Elemental Capacitor+Heating Up | Elemental Capacitor+Iron Reach | Enlightened Action+Heating Up | Enlightened Action+Iron Reach | Fragile Focus+Heating Up | Fragile Focus+Iron Reach,1917334929
6,Duty Bound,preferred,Auto Rifle,Kinetic,1,0,0,1,"Compulsive Reloader, Perpetual Motion, Stats for All","Dynamic Sway Reduction, Fourth Time's the Charm, Frenzy",9,Compulsive Reloader+Dynamic Sway Reduction | Compulsive Reloader+Fourth Time's the Charm | Compulsive Reloader+Frenzy | Dynamic Sway Reduction+Perpetual Motion | Dynamic Sway Reduction+Stats for All | Fourth Time's the Charm+Perpetual Motion | Fourth Time's the Charm+Stats for All | Frenzy+Perpetual Motion | Frenzy+Stats for All,435216110
7,Tinasha's Mastery,preferred,Sidearm,Stasis,1,0,0,1,"Air Trigger, Deconstruct, Enlightened Action","Adagio, Bait and Switch, Chill Clip",9,Adagio+Air Trigger | Adagio+Deconstruct | Adagio+Enlightened Action | Air Trigger+Bait and Switch | Air Trigger+Chill Clip | Bait and Switch+Deconstruct | Bait and Switch+Enlightened Action | Chill Clip+Deconstruct | Chill Clip+Enlightened Action,480368036
8,Swordbreaker (Adept),preferred,Shotgun,Strand,0,1,1,0,"Demolitionist, Elemental Capacitor, Fragile Focus","Aggregate Charge, Barrel Constrictor, Chaos Reshaped",9,Aggregate Charge+Demolitionist | Aggregate Charge+Elemental Capacitor | Aggregate Charge+Fragile Focus | Barrel Constrictor+Demolitionist | Barrel Constrictor+Elemental Capacitor | Barrel Constrictor+Fragile Focus | Chaos Reshaped+Demolitionist | Chaos Reshaped+Elemental Capacitor | Chaos Reshaped+Fragile Focus,1239700299
9,Submission (Adept),preferred,Submachine Gun,Kinetic,0,1,1,0,"Closing Time, Encore, Kinetic Tremors","Bait and Switch, Chaos Reshaped, Demolitionist",9,Bait and Switch+Closing Time | Bait and Switch+Encore | Bait and Switch+Kinetic Tremors | Chaos Reshaped+Closing Time | Chaos Reshaped+Encore | Chaos Reshaped+Kinetic Tremors | Closing Time+Demolitionist | Demolitionist+Encore | Demolitionist+Kinetic Tremors,1941816543
10,Stryker's Sure-Hand,preferred,Sword,Void,1,0,0,1,"Assassin's Blade, Duelist's Trance, Rampage","Binary Orbit, Destabilizing Rounds, Flash Counter",9,Assassin's Blade+Binary Orbit | Assassin's Blade+Destabilizing Rounds | Assassin's Blade+Flash Counter | Binary Orbit+Duelist's Trance | Binary Orbit+Rampage | Destabilizing Rounds+Duelist's Trance | Destabilizing Rounds+Rampage | Duelist's Trance+Flash Counter | Flash Counter+Rampage,2490460292
11,Song of Ir Yût (Adept),preferred,Machine Gun,Arc,0,1,1,0,"Demolitionist, Feeding Frenzy, Jolting Feedback","Bait and Switch, Cascade Point, Elemental Capacitor",9,Bait and Switch+Demolitionist | Bait and Switch+Feeding Frenzy | Bait and Switch+Jolting Feedback | Cascade Point+Demolitionist | Cascade Point+Feeding Frenzy | Cascade Point+Jolting Feedback | Demolitionist+Elemental Capacitor | Elemental Capacitor+Feeding Frenzy | Elemental Capacitor+Jolting Feedback,407511664
12,Deliverance (Adept),preferred,Fusion Rifle,Stasis,0,1,1,0,"Compulsive Reloader, Cornered, Crystalline Corpsebloom","Chain Reaction, Chill Clip, Controlled Burst",9,Chain Reaction+Compulsive Reloader | Chain Reaction+Cornered | Chain Reaction+Crystalline Corpsebloom | Chill Clip+Compulsive Reloader | Chill Clip+Cornered | Chill Clip+Crystalline Corpsebloom | Compulsive Reloader+Controlled Burst | Controlled Burst+Cornered | Controlled Burst+Crystalline Corpsebloom,2943293195
13,VS Chill Inhibitor,preferred,Grenade Launcher,Stasis,1,0,0,1,"Attrition Orbs, Cascade Point, Chill Clip","Chain Reaction, Elemental Honing, Explosive Light",9,Attrition Orbs+Chain Reaction | Attrition Orbs+Elemental Honing | Attrition Orbs+Explosive Light | Cascade Point+Chain Reaction | Cascade Point+Elemental Honing | Cascade Point+Explosive Light | Chain Reaction+Chill Clip | Chill Clip+Elemental Honing | Chill Clip+Explosive Light,2452936817
14,Multimach CCX,preferred,Submachine Gun,Kinetic,1,0,0,1,"Attrition Orbs, Dynamic Sway Reduction, Iron Gaze","Frenzy, Iron Reach, Kill Clip",9,Attrition Orbs+Frenzy | Attrition Orbs+Iron Reach | Attrition Orbs+Kill Clip | Dynamic Sway Reduction+Frenzy | Dynamic Sway Reduction+Iron Reach | Dynamic Sway Reduction+Kill Clip | Frenzy+Iron Gaze | Iron Gaze+Iron Reach | Iron Gaze+Kill Clip,3211624072
15,Midha's Reckoning (Harrowed),preferred,Fusion Rifle,Arc,0,1,1,0,"Backup Plan, Cornered, Field Prep","Closing Time, Gear Shift, Golden Tricorn",9,Backup Plan+Closing Time | Backup Plan+Gear Shift | Backup Plan+Golden Tricorn | Closing Time+Cornered | Closing Time+Field Prep | Cornered+Gear Shift | Cornered+Golden Tricorn | Field Prep+Gear Shift | Field Prep+Golden Tricorn,3904516037
16,Tempered Dynamo,preferred,Fusion Rifle,Arc,1,0,0,1,"Impromptu Ammunition, Kickstart, Opening Shot","Discord, Jolting Feedback, Kill Clip",9,Discord+Impromptu Ammunition | Discord+Kickstart | Discord+Opening Shot | Impromptu Ammunition+Jolting Feedback | Impromptu Ammunition+Kill Clip | Jolting Feedback+Kickstart | Jolting Feedback+Opening Shot | Kickstart+Kill Clip | Kill Clip+Opening Shot,2925315757
17,Chain of Command,preferred,Machine Gun,Stasis,1,0,0,1,"Headstone, Osmosis, Overflow","Adaptive Munitions, Desperate Measures, Focused Fury",9,Adaptive Munitions+Headstone | Adaptive Munitions+Osmosis | Adaptive Munitions+Overflow | Desperate Measures+Headstone | Desperate Measures+Osmosis | Desperate Measures+Overflow | Focused Fury+Headstone | Focused Fury+Osmosis | Focused Fury+Overflow,1716620044
18,Bite of the Fox,preferred,Sniper Rifle,Kinetic,1,0,0,1,"Firmly Planted, Hip-Fire Grip, Rapid Hit","Ambitious Assassin, Explosive Payload, Field Prep",9,Ambitious Assassin+Firmly Planted | Ambitious Assassin+Hip-Fire Grip | Ambitious Assassin+Rapid Hit | Explosive Payload+Firmly Planted | Explosive Payload+Hip-Fire Grip | Explosive Payload+Rapid Hit | Field Prep+Firmly Planted | Field Prep+Hip-Fire Grip | Field Prep+Rapid Hit,3169616514
19,Auric Disabler,preferred,Auto Rifle,Strand,1,0,0,1,"Dragonfly, Gutshot Straight, Hatchling","Desperate Measures, Onslaught, Sword Logic",9,Desperate Measures+Dragonfly | Desperate Measures+Gutshot Straight | Desperate Measures+Hatchling | Dragonfly+Onslaught | Dragonfly+Sword Logic | Gutshot Straight+Onslaught | Gutshot Straight+Sword Logic | Hatchling+Onslaught | Hatchling+Sword Logic,702001725
20,Action Item,preferred,Trace Rifle,Stasis,1,0,0,1,"Deconstruct, Demolitionist, Dynamic Sway Reduction","Binary Orbit, Crystalline Corpsebloom, Detonator Beam",9,Binary Orbit+Deconstruct | Binary Orbit+Demolitionist | Binary Orbit+Dynamic Sway Reduction | Crystalline Corpsebloom+Deconstruct | Crystalline Corpsebloom+Demolitionist | Crystalline Corpsebloom+Dynamic Sway Reduction | Deconstruct+Detonator Beam | Demolitionist+Detonator Beam | Detonator Beam+Dynamic Sway Reduction,527989828
21,Whatchamacallit,preferred,Submachine Gun,Arc,1,0,0,1,"Collective Pugilism, Enlightened Action, Headseeker","Dragonfly, Gear Shift, Jolting Feedback",9,Collective Pugilism+Dragonfly | Collective Pugilism+Gear Shift | Collective Pugilism+Jolting Feedback | Dragonfly+Enlightened Action | Dragonfly+Headseeker | Enlightened Action+Gear Shift | Enlightened Action+Jolting Feedback | Gear Shift+Headseeker | Headseeker+Jolting Feedback,357669417
22,Wastelander M5,preferred,Shotgun,Kinetic,1,0,1,1,"Air Assault, Dual Loader, Ensemble","Adagio, Fragile Focus, Harmony",9,Adagio+Air Assault | Adagio+Dual Loader | Adagio+Ensemble | Air Assault+Fragile Focus | Air Assault+Harmony | Dual Loader+Fragile Focus | Dual Loader+Harmony | Ensemble+Fragile Focus | Ensemble+Harmony,1679868061
23,Vision of Confluence (Timelost),preferred,Scout Rifle,Solar,0,1,1,0,"Butterfly, Demolitionist, Heal Clip","Burning Ambition, Desperate Measures, Elemental Honing",9,Burning Ambition+Butterfly | Burning Ambition+Demolitionist | Burning Ambition+Heal Clip | Butterfly+Desperate Measures | Butterfly+Elemental Honing | Demolitionist+Desperate Measures | Demolitionist+Elemental Honing | Desperate Measures+Heal Clip | Elemental Honing+Heal Clip,337578911
24,Drang,preferred,Sidearm,Solar,1,0,1,1,"Collective Pugilism, Discord, Disruption Break","Aggregate Charge, Binary Orbit, Eye of the Storm",9,Aggregate Charge+Collective Pugilism | Aggregate Charge+Discord | Aggregate Charge+Disruption Break | Binary Orbit+Collective Pugilism | Binary Orbit+Discord | Binary Orbit+Disruption Break | Collective Pugilism+Eye of the Storm | Discord+Eye of the Storm | Disruption Break+Eye of the Storm,358190158
