PERFECT VAULT SOLUTION (full mode)
Unordered trait combos in plane: 9434
Total physical copies: 2890
Preferred 3x3 copies: 1620
Gap-fill 1x1 copies: 1270
Distinct weapon models: 558
Unsolved: 0

Each entry is one physical vault gun.
Preferred: roll the listed perks in trait column 2 and column 3 (up to 3 each = 3x3).
Gap-fill: roll exactly that one combo (1x1).
Combinations are unordered: A+B is the same as B+A globally.

========================================================================
SUMMARY BY WEAPON (copies needed)
========================================================================
x 24  [fallback ]  The Enigma  (24 combos covered)
x 23  [fallback ]  Heritage  (23 combos covered)
x 23  [fallback ]  Succession  (23 combos covered)
x 23  [fallback ]  Tyranny of Heaven  (23 combos covered)
x 22  [fallback ]  Commemoration  (22 combos covered)
x 22  [fallback ]  Posterity  (22 combos covered)
x 21  [fallback ]  Techeun Force  (21 combos covered)
x 20  [fallback ]  Accrued Redemption  (20 combos covered)
x 20  [fallback ]  Prophet of Doom  (20 combos covered)
x 19  [fallback ]  Neoptolemus II  (19 combos covered)
x 19  [fallback ]  Transfiguration  (19 combos covered)
x 18  [fallback ]  Chattering Bone  (18 combos covered)
x 18  [fallback ]  Nation of Beasts  (18 combos covered)
x 18  [fallback ]  The Supremacy  (18 combos covered)
x 17  [fallback ]  Come to Pass  (17 combos covered)
x 16  [preferred]  Strident Whistle  (52 combos covered)
x 16  [fallback ]  Adverse Possession IX  (16 combos covered)
x 16  [fallback ]  Apex Predator  (16 combos covered)
x 16  [fallback ]  Omniscient Eye  (16 combos covered)
x 16  [fallback ]  Pro Memoria  (16 combos covered)
x 16  [fallback ]  Trustee  (16 combos covered)
x 16  [fallback ]  Zealot's Reward  (16 combos covered)
x 15  [preferred]  Blowout  (48 combos covered)
x 15  [fallback ]  Age-Old Bond  (15 combos covered)
x 15  [fallback ]  Reckless Oracle  (15 combos covered)
x 13  [preferred]  Retrofuturist  (49 combos covered)
x 13  [preferred]  Joxer's Longsword  (42 combos covered)
x 13  [preferred]  Breakneck  (40 combos covered)
x 13  [fallback ]  Bequest  (13 combos covered)
x 13  [fallback ]  Controlling Vision  (13 combos covered)
x 13  [fallback ]  Crux Termination IV  (13 combos covered)
x 13  [fallback ]  Suspectum-4fr  (13 combos covered)
x 12  [preferred]  Midha's Reckoning (Harrowed)  (35 combos covered)
x 12  [fallback ]  Ancient Gospel  (12 combos covered)
x 12  [fallback ]  Arsenic Bite-4b  (12 combos covered)
x 11  [preferred]  Non-Denouement (Adept)  (34 combos covered)
x 11  [fallback ]  Fel Taradiddle  (11 combos covered)
x 11  [fallback ]  Likely Suspect  (11 combos covered)
x 10  [preferred]  Lubrae's Ruin (Adept)  (47 combos covered)
x 10  [preferred]  Corrective Measure (Timelost)  (41 combos covered)
x 10  [preferred]  Laser Painter  (39 combos covered)
x 10  [preferred]  Critical Anomaly (Adept)  (38 combos covered)
x 10  [preferred]  Wicked Sister  (34 combos covered)
x 10  [fallback ]  Combined Action  (10 combos covered)
x 10  [fallback ]  Cruoris FR4  (10 combos covered)
x 10  [fallback ]  Father's Sins  (10 combos covered)
x 10  [fallback ]  Forensic Nightmare  (10 combos covered)
x 10  [fallback ]  Ignition Code  (10 combos covered)
x 10  [fallback ]  Judgment of Kelgorath  (10 combos covered)
x 10  [fallback ]  Lethophobia  (10 combos covered)
x 10  [fallback ]  Nezarec's Whisper  (10 combos covered)
x 10  [fallback ]  Sacred Provenance  (10 combos covered)
x 10  [fallback ]  Scalar Potential  (10 combos covered)
x 10  [fallback ]  Scatter Signal  (10 combos covered)
x 10  [fallback ]  Swarm of the Raven  (10 combos covered)
x 10  [fallback ]  The Eremite  (10 combos covered)
x  9  [preferred]  Embraced Identity  (44 combos covered)
x  9  [preferred]  Albruna-D  (41 combos covered)
x  9  [preferred]  Qua Xaphan V  (39 combos covered)
x  9  [preferred]  Qullim's Terminus (Harrowed)  (39 combos covered)
x  9  [preferred]  Cataclysmic (Adept)  (38 combos covered)
x  9  [preferred]  Positive Outlook  (37 combos covered)
x  9  [preferred]  Cynosure  (34 combos covered)
x  9  [preferred]  Found Verdict (Timelost)  (32 combos covered)
x  9  [fallback ]  Line in the Sand  (9 combos covered)
x  9  [fallback ]  Red Herring  (9 combos covered)
x  9  [fallback ]  The Showrunner  (9 combos covered)
x  8  [preferred]  Double-Edged Answer  (40 combos covered)
x  8  [preferred]  Royal Entry  (39 combos covered)
x  8  [preferred]  Yesteryear  (39 combos covered)
x  8  [preferred]  Doom of Chelchis (Harrowed)  (37 combos covered)
x  8  [preferred]  Phyllotactic Spiral  (35 combos covered)
x  8  [preferred]  Bold Endings  (34 combos covered)
x  8  [preferred]  Iterative Loop  (34 combos covered)
x  8  [preferred]  Dimensional Hypotrochoid  (32 combos covered)
x  8  [fallback ]  Doomed Petitioner  (8 combos covered)
x  8  [fallback ]  Fixed Odds  (8 combos covered)
x  8  [fallback ]  Hollow Denial  (8 combos covered)
x  8  [fallback ]  Imperative  (8 combos covered)
x  8  [fallback ]  Legato-11  (8 combos covered)
x  8  [fallback ]  Marsilion-C  (8 combos covered)
x  8  [fallback ]  Noxious Vetiver  (8 combos covered)
x  8  [fallback ]  Optative  (8 combos covered)
x  8  [fallback ]  Raconteur  (8 combos covered)
x  8  [fallback ]  Tripwire Canary  (8 combos covered)
x  8  [fallback ]  Under Your Skin  (8 combos covered)
x  8  [fallback ]  Veleda-F  (8 combos covered)
x  7  [preferred]  Volta Bracket  (39 combos covered)
x  7  [preferred]  Riptide  (38 combos covered)
x  7  [preferred]  Smite of Merain (Harrowed)  (38 combos covered)
x  7  [preferred]  Mykel's Reverence (Adept)  (37 combos covered)
x  7  [preferred]  No Hesitation  (37 combos covered)
x  7  [preferred]  Origin Story  (37 combos covered)
x  7  [preferred]  Submission (Adept)  (36 combos covered)
x  7  [preferred]  Albedo Wing  (35 combos covered)
x  7  [preferred]  Forthcoming Deviance (Adept)  (35 combos covered)
x  7  [preferred]  Axial Lacuna  (34 combos covered)
x  7  [preferred]  Exile's Curse  (34 combos covered)
x  7  [preferred]  Prolonged Engagement  (34 combos covered)
x  7  [preferred]  Someday  (34 combos covered)
x  7  [preferred]  Anonymous Autumn  (33 combos covered)
x  7  [preferred]  The Spiteful Fang  (33 combos covered)
x  7  [preferred]  Deliverance (Adept)  (32 combos covered)
x  7  [preferred]  Luna Regolith III  (32 combos covered)
x  7  [preferred]  Oversoul Edict (Adept)  (32 combos covered)
x  7  [preferred]  Pure Poetry  (31 combos covered)
x  7  [preferred]  Swordbreaker (Adept)  (31 combos covered)
x  7  [preferred]  Defiance of Yasmin (Harrowed)  (30 combos covered)
x  7  [fallback ]  Adhortative  (7 combos covered)
x  7  [fallback ]  Corrasion  (7 combos covered)
x  7  [fallback ]  Empirical Evidence  (7 combos covered)
x  7  [fallback ]  Lodbrok-C  (7 combos covered)
x  7  [fallback ]  Planck's Stride  (7 combos covered)
x  7  [fallback ]  Prodigal Return  (7 combos covered)
x  7  [fallback ]  Ros Arago IV  (7 combos covered)
x  7  [fallback ]  Targeted Redaction  (7 combos covered)
x  7  [fallback ]  Tears of Contrition  (7 combos covered)
x  7  [fallback ]  The Domino  (7 combos covered)
x  7  [fallback ]  Vantage Point  (7 combos covered)
x  6  [preferred]  Reghusk's Pledge  (34 combos covered)
x  6  [preferred]  The Third Axiom  (33 combos covered)
x  6  [preferred]  Vision of Confluence (Timelost)  (33 combos covered)
x  6  [preferred]  Zaouli's Bane (Harrowed)  (33 combos covered)
x  6  [preferred]  Chivalric Fire  (32 combos covered)
x  6  [preferred]  Hushed Whisper  (32 combos covered)
x  6  [preferred]  Pointed Inquiry  (32 combos covered)
x  6  [preferred]  Chain of Command  (31 combos covered)
x  6  [preferred]  Imminence (Adept)  (31 combos covered)
x  6  [preferred]  Thin Precipice  (31 combos covered)
x  6  [preferred]  Veiled Threat  (31 combos covered)
x  6  [preferred]  Servant Leader  (30 combos covered)
x  6  [preferred]  Fang of Ir Yût (Adept)  (29 combos covered)
x  6  [preferred]  Autumn Wind  (28 combos covered)
x  6  [preferred]  Burden of Guilt  (28 combos covered)
x  6  [preferred]  Fatebringer (Timelost)  (28 combos covered)
x  6  [preferred]  Insidious (Adept)  (27 combos covered)
x  6  [preferred]  Crisis Inverted  (26 combos covered)
x  6  [preferred]  Trinary System  (26 combos covered)
x  6  [preferred]  Unending Tempest  (23 combos covered)
x  6  [fallback ]  Appetence  (6 combos covered)
x  6  [fallback ]  Battle Scar  (6 combos covered)
x  6  [fallback ]  Blood Feud  (6 combos covered)
x  6  [fallback ]  Chronophage  (6 combos covered)
x  6  [fallback ]  Coronach-22  (6 combos covered)
x  6  [fallback ]  Deadpan Delivery  (6 combos covered)
x  6  [fallback ]  Dire Promise  (6 combos covered)
x  6  [fallback ]  Distant Tumulus  (6 combos covered)
x  6  [fallback ]  Fire and Forget  (6 combos covered)
x  6  [fallback ]  Firefright  (6 combos covered)
x  6  [fallback ]  Imperial Needle  (6 combos covered)
x  6  [fallback ]  Marcato-45  (6 combos covered)
