copy_index,weapon,role,type,damage_type,is_tiered,is_adept,is_vendor6,is_craftable,is_obtainable,col2_perks,col3_perks,combos_solved,best_pos,gfs,sample_combos,hash
1,Keraunios,preferred,Trace Rifle,Arc,1,0,0,0,1,"Fourth Time's the Charm, Overflow, Rapid Hit","Butterfly, Chain Reaction, Detonator Beam",9,,,Butterfly+Fourth Time's the Charm | Butterfly+Overflow | Butterfly+Rapid Hit | Chain Reaction+Fourth Time's the Charm | Chain Reaction+Overflow | Chain Reaction+Rapid Hit | Detonator Beam+Fourth Time's the Charm | Detonator Beam+Overflow | Detonator Beam+Rapid Hit,2386208942
2,A Good Shout,preferred,Combat Bow,Void,1,0,1,0,1,"Bolt Scavenger, Built to Blast, Envious Arsenal","Box Breathing, Butterfly, Demoralize",9,,,Bolt Scavenger+Box Breathing | Bolt Scavenger+Butterfly | Bolt Scavenger+Demoralize | Box Breathing+Built to Blast | Box Breathing+Envious Arsenal | Built to Blast+Butterfly | Built to Blast+Demoralize | Butterfly+Envious Arsenal | Demoralize+Envious Arsenal,3615748501
3,Smite of Merain (Harrowed),preferred,Pulse Rifle,Kinetic,0,1,0,1,0,"Ancillary Ordinance, Bewildering Burst, Demolitionist","Adhesive Ordnance, Adrenaline Junkie, All-Star",9,,,Adhesive Ordnance+Ancillary Ordinance | Adhesive Ordnance+Bewildering Burst | Adhesive Ordnance+Demolitionist | Adrenaline Junkie+Ancillary Ordinance | Adrenaline Junkie+Bewildering Burst | Adrenaline Junkie+Demolitionist | All-Star+Ancillary Ordinance | All-Star+Bewildering Burst | All-Star+Demolitionist,3407395594
4,Reghusk's Pledge,preferred,Auto Rifle,Void,1,0,0,0,1,"Built to Blast, Demoralize, Destabilizing Rounds","Attrition Orbs, Golden Tricorn, Golden Tricorn Enhanced",9,,,Attrition Orbs+Built to Blast | Attrition Orbs+Demoralize | Attrition Orbs+Destabilizing Rounds | Built to Blast+Golden Tricorn | Built to Blast+Golden Tricorn Enhanced | Demoralize+Golden Tricorn | Demoralize+Golden Tricorn Enhanced | Destabilizing Rounds+Golden Tricorn | Destabilizing Rounds+Golden Tricorn Enhanced,2370525224
5,Finite Impactor,preferred,Hand Cannon,Solar,1,0,0,0,1,"Elemental Capacitor, Enlightened Action, Fragile Focus","Burning Ambition, Heating Up, Iron Reach",9,,,Burning Ambition+Elemental Capacitor | Burning Ambition+Enlightened Action | Burning Ambition+Fragile Focus | Elemental Capacitor+Heating Up | Elemental Capacitor+Iron Reach | Enlightened Action+Heating Up | Enlightened Action+Iron Reach | Fragile Focus+Heating Up | Fragile Focus+Iron Reach,1917334929
6,Duty Bound,preferred,Auto Rifle,Kinetic,1,0,1,0,1,"Compulsive Reloader, Perpetual Motion, Stats for All","Dynamic Sway Reduction, Fourth Time's the Charm, Frenzy",9,,,Compulsive Reloader+Dynamic Sway Reduction | Compulsive Reloader+Fourth Time's the Charm | Compulsive Reloader+Frenzy | Dynamic Sway Reduction+Perpetual Motion | Dynamic Sway Reduction+Stats for All | Fourth Time's the Charm+Perpetual Motion | Fourth Time's the Charm+Stats for All | Frenzy+Perpetual Motion | Frenzy+Stats for All,435216110
7,Tinasha's Mastery,preferred,Sidearm,Stasis,1,0,0,0,1,"Air Trigger, Deconstruct, Enlightened Action","Adagio, Bait and Switch, Chill Clip",9,,,Adagio+Air Trigger | Adagio+Deconstruct | Adagio+Enlightened Action | Air Trigger+Bait and Switch | Air Trigger+Chill Clip | Bait and Switch+Deconstruct | Bait and Switch+Enlightened Action | Chill Clip+Deconstruct | Chill Clip+Enlightened Action,480368036
8,Swordbreaker (Adept),preferred,Shotgun,Strand,0,1,0,1,0,"Demolitionist, Elemental Capacitor, Fragile Focus","Aggregate Charge, Barrel Constrictor, Chaos Reshaped",9,,,Aggregate Charge+Demolitionist | Aggregate Charge+Elemental Capacitor | Aggregate Charge+Fragile Focus | Barrel Constrictor+Demolitionist | Barrel Constrictor+Elemental Capacitor | Barrel Constrictor+Fragile Focus | Chaos Reshaped+Demolitionist | Chaos Reshaped+Elemental Capacitor | Chaos Reshaped+Fragile Focus,1239700299
9,Submission (Adept),preferred,Submachine Gun,Kinetic,0,1,0,1,0,"Closing Time, Encore, Kinetic Tremors","Bait and Switch, Chaos Reshaped, Demolitionist",9,,,Bait and Switch+Closing Time | Bait and Switch+Encore | Bait and Switch+Kinetic Tremors | Chaos Reshaped+Closing Time | Chaos Reshaped+Encore | Chaos Reshaped+Kinetic Tremors | Closing Time+Demolitionist | Demolitionist+Encore | Demolitionist+Kinetic Tremors,1941816543
10,Stryker's Sure-Hand,preferred,Sword,Void,1,0,1,0,1,"Assassin's Blade, Duelist's Trance, Rampage","Binary Orbit, Destabilizing Rounds, Flash Counter",9,,,Assassin's Blade+Binary Orbit | Assassin's Blade+Destabilizing Rounds | Assassin's Blade+Flash Counter | Binary Orbit+Duelist's Trance | Binary Orbit+Rampage | Destabilizing Rounds+Duelist's Trance | Destabilizing Rounds+Rampage | Duelist's Trance+Flash Counter | Flash Counter+Rampage,2490460292
