copy_index,weapon,role,type,damage_type,is_tiered,is_adept,is_vendor6,is_craftable,is_obtainable,col2_perks,col3_perks,combos_solved,best_pos,gfs,sample_combos,hash
1,Frontier's Cry,preferred,Hand Cannon,Solar,1,0,0,0,1,"Adaptive Munitions, Compulsive Reloader, Steady Hands","Adagio, Iron Grip, Iron Reach",8,1,243,Adagio+Adaptive Munitions | Adagio+Steady Hands | Adaptive Munitions+Iron Grip | Adaptive Munitions+Iron Reach | Compulsive Reloader+Iron Grip | Compulsive Reloader+Iron Reach | Iron Grip+Steady Hands | Iron Reach+Steady Hands,3203303472
2,Tinasha's Mastery,preferred,Sidearm,Stasis,1,0,0,0,1,"Air Trigger, Deconstruct, Reverberation","Adagio, Chill Clip, Desperate Measures",9,1,248,Adagio+Air Trigger | Adagio+Deconstruct | Adagio+Reverberation | Air Trigger+Chill Clip | Air Trigger+Desperate Measures | Chill Clip+Deconstruct | Chill Clip+Reverberation | Deconstruct+Desperate Measures | Desperate Measures+Reverberation,480368036
3,Aureus Neutralizer,preferred,Hand Cannon,Kinetic,1,0,0,0,1,"Barrel Constrictor, Proximity Power, Threat Remover","Adagio, Cascade Point, Closing Time",9,1,275,Adagio+Barrel Constrictor | Adagio+Proximity Power | Adagio+Threat Remover | Barrel Constrictor+Cascade Point | Barrel Constrictor+Closing Time | Cascade Point+Proximity Power | Cascade Point+Threat Remover | Closing Time+Proximity Power | Closing Time+Threat Remover,3981920134
4,Returned Memory,preferred,Sidearm,Solar,1,0,1,0,1,"Beacon Rounds, Blast Distributor, Impulse Amplifier","Adagio, Burning Ambition, Redirection",9,1,167,Adagio+Beacon Rounds | Adagio+Blast Distributor | Adagio+Impulse Amplifier | Beacon Rounds+Burning Ambition | Beacon Rounds+Redirection | Blast Distributor+Burning Ambition | Blast Distributor+Redirection | Burning Ambition+Impulse Amplifier | Impulse Amplifier+Redirection,4049127142
5,Parabellum,preferred,Submachine Gun,Solar,1,0,0,0,1,"Collective Demolition, Killing Wind, Light Touch","Adagio, Attrition Orbs, Burning Ambition",9,1,233,Adagio+Collective Demolition | Adagio+Killing Wind | Adagio+Light Touch | Attrition Orbs+Collective Demolition | Attrition Orbs+Killing Wind | Attrition Orbs+Light Touch | Burning Ambition+Collective Demolition | Burning Ambition+Killing Wind | Burning Ambition+Light Touch,3769072067
6,Aisha's Embrace,preferred,Scout Rifle,Void,1,0,0,0,1,"Demoralize, Eye of the Storm, Vorpal Weapon","Adagio, Precision Instrument, Sword Logic",8,1,300,Adagio+Demoralize | Adagio+Eye of the Storm | Adagio+Vorpal Weapon | Demoralize+Precision Instrument | Demoralize+Sword Logic | Eye of the Storm+Precision Instrument | Precision Instrument+Vorpal Weapon | Sword Logic+Vorpal Weapon,3709368142
7,Mos Athanor IV,preferred,Hand Cannon,Void,1,0,1,0,1,"Built to Blast, Destabilizing Rounds, Moving Target","Adagio, Eye of the Storm, Sword Logic",5,1,281,Adagio+Destabilizing Rounds | Built to Blast+Eye of the Storm | Built to Blast+Sword Logic | Destabilizing Rounds+Sword Logic | Moving Target+Sword Logic,4118334987
8,Wastelander M5,preferred,Shotgun,Kinetic,1,0,0,1,1,"Air Assault, Dual Loader, Ensemble","Adagio, Fragile Focus, One-Two Punch",9,1,509,Adagio+Air Assault | Adagio+Dual Loader | Adagio+Ensemble | Air Assault+Fragile Focus | Air Assault+One-Two Punch | Dual Loader+Fragile Focus | Dual Loader+One-Two Punch | Ensemble+Fragile Focus | Ensemble+One-Two Punch,1679868061
9,Ulterior Observation,preferred,Machine Gun,Stasis,1,0,0,0,1,"Built to Blast, Envious Arsenal, Headstone","Adagio, Binary Orbit, Closing Time",7,1,239,Adagio+Envious Arsenal | Adagio+Headstone | Binary Orbit+Built to Blast | Binary Orbit+Envious Arsenal | Binary Orbit+Headstone | Built to Blast+Closing Time | Closing Time+Headstone,1079872540
10,Shoreline Dissident,preferred,Sniper Rifle,Void,1,0,0,0,1,"Ambitious Assassin, Explosive Payload, Triple Tap","Adagio, Demoralize, Precision Instrument",9,1,212,Adagio+Ambitious Assassin | Adagio+Explosive Payload | Adagio+Triple Tap | Ambitious Assassin+Demoralize | Ambitious Assassin+Precision Instrument | Demoralize+Explosive Payload | Demoralize+Triple Tap | Explosive Payload+Precision Instrument | Precision Instrument+Triple Tap,1193318082
11,Survivor's Epitaph,preferred,Hand Cannon,Kinetic,1,0,1,0,1,"Feeding Frenzy, High-Impact Reserves, Quickdraw","Adagio, Multikill Clip, Precision Instrument",9,1,446,Adagio+Feeding Frenzy | Adagio+High-Impact Reserves | Adagio+Quickdraw | Feeding Frenzy+Multikill Clip | Feeding Frenzy+Precision Instrument | High-Impact Reserves+Multikill Clip | High-Impact Reserves+Precision Instrument | Multikill Clip+Quickdraw | Precision Instrument+Quickdraw,4059111040
12,Briar's Contempt (Adept),preferred,Linear Fusion Rifle,Solar,0,1,0,1,0,"Incandescent, Rapid Hit, Reconstruction","Adagio, Aggregate Charge, Chaos Reshaped",9,1,558,Adagio+Incandescent | Adagio+Rapid Hit | Adagio+Reconstruction | Aggregate Charge+Incandescent | Aggregate Charge+Rapid Hit | Aggregate Charge+Reconstruction | Chaos Reshaped+Incandescent | Chaos Reshaped+Rapid Hit | Chaos Reshaped+Reconstruction,2890082420
13,Anonymous Autumn,preferred,Sidearm,Arc,1,0,1,0,1,"Attrition Orbs, Rangefinder, Strategist","Adagio, Multikill Clip, Voltshot",9,1,1101,Adagio+Attrition Orbs | Adagio+Rangefinder | Adagio+Strategist | Attrition Orbs+Multikill Clip | Attrition Orbs+Voltshot | Multikill Clip+Rangefinder | Multikill Clip+Strategist | Rangefinder+Voltshot | Strategist+Voltshot,1644501332
14,Iterative Loop,preferred,Fusion Rifle,Arc,1,0,0,1,1,"Compulsive Reloader, Supercharged Magazine, Well-Rounded","Adagio, Closing Time, Kickstart",8,1,651,Adagio+Compulsive Reloader | Adagio+Supercharged Magazine | Adagio+Well-Rounded | Closing Time+Compulsive Reloader | Closing Time+Supercharged Magazine | Closing Time+Well-Rounded | Compulsive Reloader+Kickstart | Kickstart+Supercharged Magazine,1289796511
15,Sublimation,preferred,Scout Rifle,Arc,1,0,0,0,1,"Eddy Current, Impromptu Ammunition, Sympathetic Arsenal","Adagio, No Distractions, Redirection",8,1,268,Adagio+Eddy Current | Adagio+Impromptu Ammunition | Adagio+Sympathetic Arsenal | Eddy Current+No Distractions | Eddy Current+Redirection | Impromptu Ammunition+No Distractions | No Distractions+Sympathetic Arsenal | Redirection+Sympathetic Arsenal,1674692344
16,Round Robin,preferred,Hand Cannon,Strand,1,0,0,1,1,"Envious Assassin, Fourth Time's the Charm, Tear","Adagio, Elemental Capacitor, Kill Clip",9,1,1014,Adagio+Envious Assassin | Adagio+Fourth Time's the Charm | Adagio+Tear | Elemental Capacitor+Envious Assassin | Elemental Capacitor+Fourth Time's the Charm | Elemental Capacitor+Tear | Envious Assassin+Kill Clip | Fourth Time's the Charm+Kill Clip | Kill Clip+Tear,2034215657
17,Fortissimo-11,preferred,Shotgun,Kinetic,1,0,1,0,1,"Pulse Monitor, Steady Hands, Unrelenting","Adagio, Elemental Capacitor, Osmosis",7,1,1551,Adagio+Pulse Monitor | Adagio+Unrelenting | Elemental Capacitor+Steady Hands | Elemental Capacitor+Unrelenting | Osmosis+Pulse Monitor | Osmosis+Steady Hands | Osmosis+Unrelenting,963732595
18,Convened Recurve,preferred,Combat Bow,Void,1,0,1,0,1,"Built to Blast, Moving Target, Withering Gaze","Adagio, Aggregate Charge, Butterfly",8,1,181,Adagio+Built to Blast | Adagio+Moving Target | Adagio+Withering Gaze | Aggregate Charge+Built to Blast | Aggregate Charge+Moving Target | Aggregate Charge+Withering Gaze | Butterfly+Moving Target | Butterfly+Withering Gaze,3667861447
19,Cataclysmic (Adept),preferred,Linear Fusion Rifle,Solar,0,1,0,1,0,"Burning Ambition, No Distractions, Slideshot","Adaptive Munitions, Bait and Switch, Box Breathing",9,1,304,Adaptive Munitions+Burning Ambition | Adaptive Munitions+No Distractions | Adaptive Munitions+Slideshot | Bait and Switch+Burning Ambition | Bait and Switch+No Distractions | Bait and Switch+Slideshot | Box Breathing+Burning Ambition | Box Breathing+No Distractions | Box Breathing+Slideshot,2886339027
20,Eleatic Principle,preferred,Machine Gun,Arc,1,0,0,1,1,"Eddy Current, Ensemble, Offhand Strike","Adaptive Munitions, Rangefinder, Tap the Trigger",8,1,593,Adaptive Munitions+Eddy Current | Adaptive Munitions+Ensemble | Adaptive Munitions+Offhand Strike | Eddy Current+Rangefinder | Eddy Current+Tap the Trigger | Ensemble+Rangefinder | Ensemble+Tap the Trigger | Offhand Strike+Rangefinder,105306149
21,Retraced Path,preferred,Trace Rifle,Solar,1,0,0,1,1,"Adaptive Munitions, Genesis, Killing Wind","Golden Tricorn, Golden Tricorn Enhanced, Incandescent",8,1,739,Adaptive Munitions+Golden Tricorn | Adaptive Munitions+Golden Tricorn Enhanced | Adaptive Munitions+Incandescent | Genesis+Golden Tricorn Enhanced | Genesis+Incandescent | Golden Tricorn+Killing Wind | Golden Tricorn Enhanced+Killing Wind | Incandescent+Killing Wind,548958835
22,Chain of Command,preferred,Machine Gun,Stasis,1,0,1,0,1,"Headstone, Osmosis, Overflow","Adaptive Munitions, Desperate Measures, Meganeura",9,1,228,Adaptive Munitions+Headstone | Adaptive Munitions+Osmosis | Adaptive Munitions+Overflow | Desperate Measures+Headstone | Desperate Measures+Osmosis | Desperate Measures+Overflow | Headstone+Meganeura | Meganeura+Osmosis | Meganeura+Overflow,1716620044
23,Positive Outlook,preferred,Auto Rifle,Void,1,0,1,0,1,"Invisible Hand, Perfect Float, Shot Swap","Adaptive Munitions, Dragonfly, Elemental Capacitor",9,1,963,Adaptive Munitions+Invisible Hand | Adaptive Munitions+Perfect Float | Adaptive Munitions+Shot Swap | Dragonfly+Invisible Hand | Dragonfly+Perfect Float | Dragonfly+Shot Swap | Elemental Capacitor+Invisible Hand | Elemental Capacitor+Perfect Float | Elemental Capacitor+Shot Swap,491078457
24,Frontier's Cry,preferred,Hand Cannon,Solar,1,0,0,0,1,"Adaptive Munitions, Stats for All, Tunnel Vision","Iron Grip, Iron Reach, Kill Clip",7,1,243,Adaptive Munitions+Kill Clip | Iron Grip+Stats for All | Iron Grip+Tunnel Vision | Iron Reach+Stats for All | Iron Reach+Tunnel Vision | Kill Clip+Stats for All | Kill Clip+Tunnel Vision,3203303472
